STATE,ST_CASE,VE_TOTAL,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,MILEPT,LATITUDE,LONGITUD
North Carolina,370419,2,3,133,2330,9,5,2015,0,34.79615556,-77.43786389
North Carolina,370420,1,1,133,0,10,5,2015,99999,34.81912778,-77.54305833
North Carolina,370421,2,3,133,0,11,5,2015,99999,34.93245278,-77.50530278
North Carolina,370422,1,1,139,0,3,5,2015,99999,36.43178889,-76.46978889
North Carolina,370423,2,2,145,0,8,5,2015,99999,36.35930833,-79.019475
North Carolina,370424,1,1,147,1950,21,5,2015,99999,35.56567778,-77.35679722
North Carolina,370425,1,1,147,0,28,5,2015,99999,35.54498333,-77.41465556
North Carolina,370426,1,1,149,0,8,5,2015,99999,35.27903611,-82.12270278
North Carolina,370427,1,2,149,0,22,5,2015,99999,35.27051944,-82.18274167
North Carolina,370428,2,2,151,0,8,5,2015,99999,35.88421667,-79.92567778
North Carolina,370429,2,3,153,3910,6,5,2015,99999,34.93790556,-79.77926111
North Carolina,370430,1,2,155,0,2,5,2015,99999,34.55506944,-79.03348889
North Carolina,370431,1,1,155,0,8,5,2015,99999,34.78457222,-79.04528333
North Carolina,370432,1,1,155,0,9,5,2015,99999,34.63606389,-79.21133611
North Carolina,370433,1,1,155,0,12,5,2015,99999,34.917825,-79.06036944
North Carolina,370434,2,3,155,0,17,5,2015,99999,34.63974167,-78.95482778
North Carolina,370435,1,1,155,0,21,5,2015,0,34.68029167,-79.29649167
North Carolina,370436,1,1,157,0,21,5,2015,0,36.31727222,-79.94368611
North Carolina,370437,2,3,159,0,29,5,2015,0,35.51810833,-80.40368333
North Carolina,370438,1,1,167,0,8,5,2015,0,35.22180833,-80.29767222
North Carolina,370439,1,1,169,0,28,5,2015,0,36.42233056,-80.26716667
North Carolina,370440,4,7,171,0,7,5,2015,0,36.5291,-80.62871389
North Carolina,370441,6,1,171,0,13,5,2015,0,36.40765278,-80.53930278
North Carolina,370442,1,1,179,9997,11,5,2015,0,35.12967778,-80.39633333
North Carolina,370443,2,2,179,4690,15,5,2015,0,35.07491389,-80.53074722
North Carolina,370444,1,1,183,800,5,5,2015,0,35.79020278,-78.79382222
North Carolina,370445,2,3,183,4790,9,5,2015,0,35.93396389,-78.542875
North Carolina,370446,1,1,183,0,12,5,2015,0,35.91439167,-78.50630278
North Carolina,370447,1,1,183,0,12,5,2015,0,35.56223889,-78.81430833
North Carolina,370448,2,2,189,0,11,5,2015,0,36.19789722,-81.65240278
North Carolina,370449,2,4,189,0,16,5,2015,0,36.22248333,-81.70213611
North Carolina,370450,2,2,183,3750,10,1,2015,0,35.88252222,-78.67940556
North Carolina,370451,1,1,45,530,13,4,2015,0,35.25985278,-81.66746944
North Carolina,370452,1,1,49,0,3,4,2015,0,35.32393889,-77.20453889
North Carolina,370453,2,3,109,2660,24,4,2015,0,35.48058333,-81.20923611
North Carolina,370454,1,1,5,4320,15,5,2015,0,36.50126667,-81.11626667
North Carolina,370455,1,1,35,2150,14,5,2015,0,35.72397778,-81.36897222
North Carolina,370456,1,1,35,0,19,5,2015,0,35.742775,-81.18766389
North Carolina,370457,2,2,3,2153,28,5,2015,0,35.78877222,-81.31491667
North Carolina,370458,1,1,47,0,28,5,2015,0,34.30725,-78.80755833
North Carolina,370459,2,4,47,0,31,5,2015,0,34.42566389,-78.60740556
North Carolina,370460,2,2,49,0,31,5,2015,0,35.00265278,-76.98783056
